id,fr,en
1,"Doyen(ne)","Dean"
2,"Directeur(e) de Laboratoire","Lab Director"
3,"Directeur(e) de Département","Department Director"
4,"Professeur(e) Émérite","Emeritus Professor"
5,"Professeur(e) Distingué(e)","Distinguished Professor"
6,"Professeur(e) Titulaire","Full Professor"
7,"Professeur(e) Agrégé(e)","Associate Professor"
8,"Professeur(e) Adjoint(e)","Assistant Professor"
9,"Chargé(e) de Cours Senior","Senior Lecturer"
10,"Chargé(e) de Cours","Lecturer"
11,"Chargé(e) de Cours","Instructor"
12,"Chaire de Recherche","Research Chair"
13,"Auxilliaire d'Enseignement","Teaching Assistant"
14,"Auxilliaire de Recherche","Research Assistant"
15,"Chercheur(e)","Researcher"
16,"Chercheur(e) Indépendant(e)","Independent Researcher"
17,"Chercheur(e) Postdoctoral(e)","Postdoctoral Fellow"
18,"Chercheur(e) Postdoctoral(e)","Postdoctoral Scholar"
19,"Chercheur(e) Postdoctoral(e)","Postdoctoral Researcher"
20,"Chercheur(e) Postdoctoral(e)","Postdoctoral Research Trainee"
21,"Doctorant(e)","PhD Candidate"
22,"Doctorant(e)","PhD Student"
23,"Étudiant(e) en Maîtrise,","Master Student"
24,"Étudiant(e) en Bachelier,","Bachelor Student"
25,"Étudiant(e) en CEGEP,","CEGEP Student"
26,"Étudiant(e) en Secondaire,","High School Student"
27,"Étudiant(e) en Primaire,","Primary School Student"
28,"Ingénieur(e)","Engineer"
29,"Technicien(ne)","Technician"
30,"Membre Associé(e)","Associate Member"
31,"Visiteur(e)","Visitor"
