"id","name"
1299,"Andonova Liliana"
1300,"Dimitris Kiritsis"
1301,"Keplinger Tobias"
1302,"Schnyder Marc"
1303,"Ulrich Yuko"
1304,"Abbaspour Karim"
1305,"Abdulle Assyr"
1306,"Aberer Karl"
1307,"Abhari Reza"
1308,"Abiven Samuel"
1309,"Acebillo Josep"
1310,"Achermann Peter"
1311,"Ackermann Martin"
1312,"Adatte Thierry"
1313,"Adlhart Christian"
1314,"Afjei Thomas"
1315,"Agrawal Kumar Varoon"
1316,"Ahamed Rasha"
1317,"Albert Carlo"
1318,"Alberton Siegfried"
1319,"Alewell Christine"
1320,"Allan Eric"
1321,"Altermatt Florian"
1322,"Alvarez Nadir"
1323,"Ambrosi Christian"
1325,"Ammann Markus"
1326,"Anastasopoulos Ioannis"
1327,"Anastassova Zoya"
1328,"Ancey Christophe"
1330,"Angélil Marc"
1331,"Anken Thomas"
1332,"Anquetin Jérémy"
1333,"Anselmetti Flavio"
1334,"Antognini Marco"
1335,"Arcand Jean-Louis"
1338,"Ariztegui Daniel"
1339,"Arlettaz Raphaël"
1341,"Arnsperger Christian"
1342,"Arraigada Martin"
1344,"Audard Marc"
1345,"Axhausen Kay W."
1346,"Bacchetta Philippe"
1347,"Bacher Sven"
1348,"Bachmann Eduard"
1349,"Bachmann Olivier"
1350,"Badache Fanny"
1351,"Bader Hans-Peter"
1352,"Badoux Alexandre"
1353,"Baier Urs"
1354,"Bailat Claude"
1355,"Balanche Robert"
1356,"Baldini Luca"
1357,"Ballif Christophe"
1358,"Balmer Marianne"
1359,"Balser Eva Maria"
1360,"Balsiger Béatrice"
1361,"Baltensweiler Andri"
1362,"Bandi Monika"
1363,"Baranzini Andrea"
1364,"Baroffio Catherine"
1365,"Barras Vincent"
1366,"Barry Andrew"
1368,"Barth Martin"
1369,"Bascompte Jordi"
1371,"Battaglia Corsin"
1372,"Bättig Daniel"
1373,"Baudouï Rémi"
1374,"Bauer Georg"
1375,"Baumberger Roland"
1376,"Baumgartner Peter"
1377,"Baur Bruno"
1378,"Baur Priska"
1379,"Bebi Peter"
1380,"Becker Damien"
1381,"Beer Bettina"
1382,"Behra Renata"
1384,"Bellucci Sergio"
1385,"Beltrami Ivano"
1386,"Benenson Yaakov"
