"id","de","fr","it","en","main"
7,"3D","3D","3D","3D",0
8,"Aerosole","aérosol","aerosol","aerosol",0
9,"Agronomie","agronomie","agronomia","agronomy",0
10,"Luft","air","aria","air",1
11,"Alpen","Alpes","Alpi","Alps",0
12,"Analytische Chemie","chimie analytique","chimica analitica","analytical chemistry",0
13,"Archäologie","archéologie","archeologia","archaeology",0
14,"Architektur","architecture","architettura","architecture",0
15,"Astronomie","astronomie","astronomia","astronomy",0
16,"Astrophysik","astrophysique","astrofisica","astrophysics",0
17,"Atmosphäre","atmosphère","atmosfera","atmosphere",0
18,"Lawinen","avalanches","valanghe","avalanches",0
19,"Biodiversität","biodiversité","biodiversità","biodiversity",1
20,"Biogeochemie","biogéochimie","biogeochimica","biogeochemistry",0
21,"biologische Kontrolle","contrôle biologique","controllo biologico","biological control",0
22,"Biologie","biologie","biologia","biology",0
23,"Biomasse","biomasse","biomassa","biomass",0
24,"Biologische Sicherheit","biosécurité","biosicurezza","biosafety",1
25,"Biotechnologie","biotechnologie","biotecnologia","biotechnology",0
26,"CO2-Sequestrierung und -Speicherung","captage et stockage du carbone","cattura e stoccaggio di CO2","carbon capture and storage",0
27,"Kohlenstoffzyklus","cycle du carbone","ciclo del carbonio","carbon cycle",0
28,"Kartographie","cartographie","cartografia","cartography",0
29,"chemische Verfahrenskontrolle","contrôle des processus industriels chimiques","controllo di procedimenti chimici","chemical process control",0
30,"Chemikalien","produits chimiques","sostanze chimiche","chemicals",1
31,"Chemie","chimie","chimica  ","chemistry",0
32,"Klimawandel","changement climatique","cambiamento climatico","climate change",1
33,"Klimamodellierung","modélisation du climat","modellistica del clima","climate modelling",0
34,"Klimaschwankungen","variabilité climatique","variabilità climatica","climate variability",0
35,"CO2 ","CO2","CO2","CO2",0
36,"Verbrennung","combustion","combustione","combustion",0
37,"Datenverarbeitung","informatique","informatica","computing",0
38,"Naturschutzbiologie","biologie de la conservation","biologia della conservazione","conservation biology",0
39,"Bauwesen","construction","costruzione","construction",0
40,"Konsum","consommation","consumo","consumption",0
41,"Altlasten","sites contaminés","siti contaminati","contaminated sites",1
42,"Pflanzenbau","plante cultivée","produzione vegetale","crop",0
43,"Kultur","culture","cultura","culture",0
44,"Entscheidungsverfahren","prise de décision","processo decisionale","decision-making",0
45,"Trinkwasser","eau potable","acqua potabile","drinking water",0
46,"Erdbeben","tremblement de terre","terremoto","earthquake",0
47,"Ökoeffizienz","eco efficacité","ecoefficienza","eco efficiency",0
48,"Ökodesign","design écologique","ecodesign","ecodesign",0
49,"Ökologie","écologie","ecologia","ecology",0
50,"Wirtschaft","économie","economia","economics",1
51,"Ökosysteme","écosystème","ecosistema","ecosystem",0
52,"Ökotoxikologie","écotoxicologie","ecotossicologia","ecotoxicology",0
53,"Emissionshandel","échange de droits d'émissions","scambio di quote di emissioni","emission trading",0
54,"Emissionsreduktion","réduction des émissions","riduzione delle emissioni","emissions reduction",0
55,"Energie","énergie","energia","energy",0
56,"Energieeffizienz","efficacité énergétique","efficienza energetica","energy efficiency",0
57,"Ingenieurwesen","ingénierie","ingegneria","engineering",0
58,"Entomology","entomologie","entomologia","entomology",0
59,"Umweltbildung","éducation environnementale","educazione ambientale","environmental education",0
