"gid","cantonID","canton","institution","departement","institute","groupname","group_website","group_head","group_street","group_zip","group_city","group_xcoord","group_ycoord","group_maintopic_de","group_maintopic_fr","group_maintopic_it","group_maintopic_en","group_alltopics_de","group_alltopics_fr","group_alltopics_it","group_alltopics_en"
1856,"BE","Bern","Agroscope","Institut für Lebensmittelwissenschaften (Liebefeld)","FB Lebensmitteltechnologie","Biotechnologie","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/tiere-tierische-produkte/biotechnologie.html#","Von Ah Ueli","Schwarzenburgstrasse 161",3003,"Bern","46.9300238","7.4229282","Biologische Sicherheit","biosécurité","biosicurezza","biosafety","Produktion, Mikrobiologie, Nahrungsmittel, Gesundheit, Genetik, Gentechnisch veränderte Organismen, Biodiversität, Biologische Sicherheit","production, microbiologie, nourriture, santé, génétique, organismes génétiquement modifiés, biodiversité, biosécurité","produzione, microbiologia, cibo, salute, genetica, organismo modificato geneticamente, biodiversità, biosicurezza","production, microbiology, food, health, genetics, genetically modified organism, biodiversity, biosafety"
581,"ZH","Zürich","Agroscope","Institut für Lebensmittelwissenschaften (Wädenswil)","FB Pflanzliche Lebensmittel  (Wädenswil)","Lebensmittelmikrobiologie und -analytik (Wädenswil)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/mikrobielle-systeme-lebensmittel/lebensmittelmikrobiologie-analytik.html#","Drissner David","Schloss 1",8820,"Wädenswil","47.2230702","8.6766194","Andere","autres","altri","others","biologische Kontrolle, Pflanzenbiologie, Monitoring, Mikrobiologie, Nahrungsmittel, Biologische Sicherheit, Andere","contrôle biologique, biologie des plantes, surveillance, microbiologie, nourriture, biosécurité, autres","controllo biologico, biologia vegetale, monitoraggio, microbiologia, cibo, biosicurezza, altri","biological control, plant biology, monitoring, microbiology, food, biosafety, others"
580,"ZH","Zürich","Agroscope","Institut für Lebensmittelwissenschaften (Wädenswil)","FB Pflanzliche Lebensmittel  (Wädenswil)","Produktequalität, -innovation und Ernährung (Wädenswil)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/pflanzen-pflanzliche-produkte/produktequalitaet-innovation-ernaehrung.html#","Petignat-Keller Sonia","Schloss 1",8820,"Wädenswil","47.2230702","8.6766194","Andere","autres","altri","others","Pflanzen, Agronomie, Pflanzenbiologie, Nahrungsmittel, Monitoring, Andere","plante, agronomie, biologie des plantes, nourriture, surveillance, autres","piante, agronomia, biologia vegetale, cibo, monitoraggio, altri","plant, agronomy, plant biology, food, monitoring, others"
596,"TG","Thurgau","Agroscope","Institut für Nachhaltigkeitswissenschaften (Tänikon)","FB Agrarökonomie und Agrartechnik (Tänikon)","Agrartechnische Systeme und Mechatronik (Tänikon)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/wettbewerbsfaehigkeit-systembewertung/agrartechnische-systeme-mechatronik.html#","Anken Thomas","Tänikon 1",8356,"Ettenhausen","47.4792318","8.9067545","Technologie","technologie","tecnologia","technology","Luft, Verschmutzung, Boden, Energieeffizienz, Schutz, Biomasse, Emissionsreduktion, Agronomie, Technologie","air, pollution, sol, efficacité énergétique, protection, biomasse, réduction des émissions, agronomie, technologie","aria, inquinamento, suolo, efficienza energetica, protezione, biomassa, riduzione delle emissioni, agronomia, tecnologia","air, pollution, soil, energy efficiency, protection, biomass, emissions reduction, agronomy, technology"
595,"TG","Thurgau","Agroscope","Institut für Nachhaltigkeitswissenschaften (Tänikon)","FB Agrarökonomie und Agrartechnik (Tänikon)","Arbeit, Bau und Systembewertung (Tänikon)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/wettbewerbsfaehigkeit-systembewertung/arbeit-bau-systembewertung.html#","Schick Matthias","Tänikon 1",8356,"Ettenhausen","47.4792318","8.9067545","Technologie","technologie","tecnologia","technology","Produktion, Nahrungsmittel, Bauwesen, Agronomie, Nachhaltigkeit, Technologie","production, nourriture, construction, agronomie, développement durable, technologie","produzione, cibo, costruzione, agronomia, sostenibilità, tecnologia","production, food, construction, agronomy, sustainability, technology"
1857,"TG","Thurgau","Agroscope","Institut für Nachhaltigkeitswissenschaften (Tänikon)","FB Agrarökonomie und Agrartechnik (Tänikon)","Betriebswirtschaft (Tänikon)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/wettbewerbsfaehigkeit-systembewertung/betriebswirtschaft.html#","Lips Markus","Tänikon 1",8356,"Ettenhausen","47.4792318","8.9067545","Wirtschaft","économie","economia","economics","Politik, Bodennutzung, Agronomie, Wirtschaft","politique, utilisation du sol, agronomie, économie","politica, destinazione dei suoli, agronomia, economia","policy, land use, agronomy, economics"
594,"TG","Thurgau","Agroscope","Institut für Nachhaltigkeitswissenschaften (Tänikon)","FB Agrarökonomie und Agrartechnik (Tänikon)","Sozioökonomie (Tänikon)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/wettbewerbsfaehigkeit-systembewertung/soziooekonomie.html#","Mann Stefan","Tänikon 1",8356,"Ettenhausen","47.4792318","8.9067545","Wirtschaft","économie","economia","economics","Nahrungsmittel, Soziologie, Ressourcenmanagement, Ressourceneffizienz, Politik, Biodiversität, Agronomie, Kultur, Wirtschaft","nourriture, sociologie, management des ressources, utilisation efficace des ressources, politique, biodiversité, agronomie, culture, économie","cibo, sociologia, gestione delle risorse naturali, uso efficiente delle risorse naturali, politica, biodiversità, agronomia, cultura, economia","food, sociology, resource management, resource efficiency, policy, biodiversity, agronomy, culture, economics"
590,"ZH","Zürich","Agroscope","Institut für Nachhaltigkeitwissenschaften (Reckenholz)","FB Biodiversität und Umweltmanagement (Reckenholz)","Agrarlandschaft und Biodiversität (Reckenholz)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/agraroekologie-umwelt/agrarlandschaft-biodiversitaet.html#","Herzog Felix","Reckenholzstrasse 191",8046,"Zürich","47.4289180","8.5163478","Biodiversität","biodiversité","biodiversità","biodiversity","Ökosysteme, Ressourcenmanagement, GIS, Landschaft, Landschaftsplanung, Bodennutzung, Agronomie, Biodiversität","écosystème, management des ressources, SIG, paysage, planification du paysage, utilisation du sol, agronomie, biodiversité","ecosistema, gestione delle risorse naturali, GIS (sistema di informazione geografica), paesaggio, pianificazione del paesaggio, destinazione dei suoli, agronomia, biodiversità","ecosystem, resource management, GIS, landscape, landscape planning, land use, agronomy, biodiversity"
592,"ZH","Zürich","Agroscope","Institut für Nachhaltigkeitwissenschaften (Reckenholz)","FB Biodiversität und Umweltmanagement (Reckenholz)","Biosicherheit (Reckenholz)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/agraroekologie-umwelt/biosicherheit.html#","Romeis Jörg","Reckenholzstrasse 191",8046,"Zürich","47.4289180","8.5163478","Biologische Sicherheit","biosécurité","biosicurezza","biosafety","Exposition des Menschen, Umweltbelastung, Risikoanalyse, Ökosysteme, Gentechnisch veränderte Organismen, Monitoring, Agronomie, Biodiversität, Sicherheitsanalyse, Methodologie, Biologische Sicherheit","exposition humaine, impact environnemental, évaluation du risque, écosystème, organismes génétiquement modifiés, surveillance, agronomie, biodiversité, analyse de sécurité, méthodology, biosécurité","esposizione umana, impatto ambientale, valutazione dei rischi, ecosistema, organismo modificato geneticamente, monitoraggio, agronomia, biodiversità, analisi della sicurezza, metodologia, biosicurezza","human exposure, environmental impact, risk assessment, ecosystem, genetically modified organism, monitoring, agronomy, biodiversity, security analysis, methodology, biosafety"
593,"ZH","Zürich","Agroscope","Institut für Nachhaltigkeitwissenschaften (Reckenholz)","FB Biodiversität und Umweltmanagement (Reckenholz)","Molekulare Ökologie (Reckenholz)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/methodenentwicklung-analytik/molekulare-oekologie.html#","Widmer Franco","Reckenholzstrasse 191",8046,"Zürich","47.4289180","8.5163478","Biodiversität","biodiversité","biodiversità","biodiversity","Ökosysteme, Boden, Biodiversität, Genetik, Gentechnisch veränderte Organismen, Agronomie, molekulare Ökologie, Ökologie","écosystème, sol, biodiversité, génétique, organismes génétiquement modifiés, agronomie, écologie moléculaire, écologie","ecosistema, suolo, biodiversità, genetica, organismo modificato geneticamente, agronomia, ecologia molecolare, ecologia","ecosystem, soil, biodiversity, genetics, genetically modified organism, agronomy, molecular ecology, ecology"
591,"ZH","Zürich","Agroscope","Institut für Nachhaltigkeitwissenschaften (Reckenholz)","FB Biodiversität und Umweltmanagement (Reckenholz)","Ökobilanzen (Reckenholz)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/agraroekologie-umwelt/oekobilanzen.html#","Gaillard Gérard","Reckenholzstrasse 191",8046,"Zürich","47.4289180","8.5163478","Ressourcenmanagement","management des ressources","gestione delle risorse naturali","resource management","Ressourcenmanagement, Lebenszyklusanalyse, Pflanzenbau, Nachhaltigkeit, Produktion, Methodologie, Umweltmanagement, Nährstoffe, Agronomie, Ökologie, Monitoring","management des ressources, analyse du cycle de vie, plante cultivée, développement durable, production, méthodology, management environnemental, nutriment, agronomie, écologie, surveillance","gestione delle risorse naturali, analisi del ciclo di vita, produzione vegetale, sostenibilità, produzione, metodologia, gestione ambientale, sostanza nutritiva, agronomia, ecologia, monitoraggio","resource management, life cycle assessment, crop, sustainability, production, methodology, environmental management, nutrient, agronomy, ecology, monitoring"
1464,"ZH","Zürich","Agroscope","Institut für Nachhaltigkeitwissenschaften (Reckenholz)","FB Graslandwissenschaften und Agrarökosysteme (Reckenholz)","Futterbau und Graslandsysteme (Reckenholz)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/produktionssysteme-tiere-tiergesundheit/futterbau-graslandsysteme.html#","Lüscher Andreas","Reckenholzstrasse 191",8046,"Zürich","47.4289180","8.5163478","Produktion","production","produzione","production","Produktion, Agronomie, Biodiversität, Pflanzenbau, Nachhaltigkeit, Landschaft, Ökosysteme","production, agronomie, biodiversité, plante cultivée, développement durable, paysage, écosystème","produzione, agronomia, biodiversità, produzione vegetale, sostenibilità, paesaggio, ecosistema","production, agronomy, biodiversity, crop, sustainability, landscape, ecosystem"
1465,"ZH","Zürich","Agroscope","Institut für Nachhaltigkeitwissenschaften (Reckenholz)","FB Graslandwissenschaften und Agrarökosysteme (Reckenholz)","Futterpflanzenzüchtung (Reckenholz)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/pflanzenzuechtung/futterpflanzenzuechtung.html#","Schubiger Franz","Reckenholzstrasse 191",8046,"Zürich","47.4289180","8.5163478","Produktion","production","produzione","production","Pflanzenbau, Genetik, Pflanzen, Nachhaltigkeit, Produktion, Biodiversität","plante cultivée, génétique, plante, développement durable, production, biodiversité","produzione vegetale, genetica, piante, sostenibilità, produzione, biodiversità","crop, genetics, plant, sustainability, production, biodiversity"
1467,"ZH","Zürich","Agroscope","Institut für Nachhaltigkeitwissenschaften (Reckenholz)","FB Graslandwissenschaften und Agrarökosysteme (Reckenholz)","Ökologie von Schad- und Nutzorganismen (Reckenholz)","#https://www.agroscope.admin.ch/agroscope/de/home/ueber-uns/organisation/kompetenzbereiche-strategische-forschungsbereiche/pflanzenschutz/oekologie-schadorganismen-nutzorganismen.html#","Vogelgsang Susanne","Reckenholzstrasse 191",8046,"Zürich","47.4289180","8.5163478","Produktion","production","produzione","production","Biotechnologie, Pflanzen, Parasitologie, Pestizid, Agronomie, Produktion","biotechnologie, plante, parasitologie, pesticide, agronomie, production","biotecnologia, piante, Parassitologia, pesticida, agronomia, produzione","biotechnology, plant, parasitology, pesticide, agronomy, production"
