"id","cantonId","institutionId","department","institute","name","website","street","zip","city","lat","lng","topicIds","mainTopicId","headIds"
1,26,15,"Departement Umweltsystemwissenschaften","Institut für Atmosphäre und Klimawissenschaft (IAC)","Atmosphärenchemie","http://www.iac.ethz.ch/groups/peter/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","8,10,17,30,32,108,115,116,122,125,152","10","2159"
2,26,15,"Departement Umweltsystemwissenschaften","Institut für Atmosphäre und Klimawissenschaft (IAC)","Atmosphärenphysik","http://www.iac.ethz.ch/groups/lohmann","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","8,10,17,31,32,108,110","10","1977"
3,26,15,"Departement Umweltsystemwissenschaften","Institut für Atmosphäre und Klimawissenschaft (IAC)","Dynamik der Atmosphäre","http://www.iac.ethz.ch/groups/wernli","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","11,17,32,34,108,113,122","32","1750"
4,26,15,"Departement Umweltsystemwissenschaften","Institut für Atmosphäre und Klimawissenschaft (IAC)","Klimaphysik","http://www.iac.ethz.ch/groups/knutti","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","27,32,33,108,113,163","32","1893"
5,26,15,"Departement Umweltsystemwissenschaften","Institut für Atmosphäre und Klimawissenschaft (IAC)","Klima & Wasserkreislauf","http://www.iac.ethz.ch/groups/schaer","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","32,33,34,177","32","2281"
6,26,15,"Departement Umweltsystemwissenschaften","Institut für Atmosphäre und Klimawissenschaft (IAC)","Land-Klima Dynamik","http://www.iac.ethz.ch/groups/seneviratne/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","17,32,89,113,118","32","2343"
7,26,15,"Departement Umweltsystemwissenschaften","Institut für Biogeochemie und Schadstoffdynamik (IBP)","Aquatische Chemie","http://www.aquatic-chemistry.ethz.ch/the-group.html","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","27,29,99,115,121,139,144,177","177","2512"
8,26,15,"Departement Umweltsystemwissenschaften","Institut für Biogeochemie und Schadstoffdynamik (IBP)","Umweltmikrobiologie","http://www.envmicro.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","19,20,49,111,115,121,159,177,179","19","1963"
9,26,15,"Departement Umweltsystemwissenschaften","Institut für Biogeochemie und Schadstoffdynamik (IBP)","Bodenchemie","http://www.soilchem.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","12,20,41,107,112,139,159","159","1909"
11,26,15,"Departement Umweltsystemwissenschaften","Institut für Biogeochemie und Schadstoffdynamik (IBP)","Umweltbiogeochemie","http://www.eawag.ch/de/ueberuns/portraet/organisation/mitarbeitende/profile/janet-hering/","Überlandstrasse 133",8600,"Dübendorf","47.4048301","8.6096666","20,31,41,107,111,112,139,177,178","177","1758"
12,26,15,"Departement Umweltsystemwissenschaften","Institut für Biogeochemie und Schadstoffdynamik (IBP)","Umweltchemie","http://www.envchem.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","12,99,113,123,139,150,159","139","2028"
13,26,15,"Departement Umweltsystemwissenschaften","Institut für Biogeochemie und Schadstoffdynamik (IBP)","Umweltphysik","http://www.up.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","20,27,32,34,55,126","32","1704"
14,26,15,"Departement Umweltsystemwissenschaften","Institut für Biogeochemie und Schadstoffdynamik (IBP)","Boden- und Terrestriche Umweltphysik","http://www.step.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","17,51,104,110,111,134,156,159","159","2120"
15,26,15,"Departement Umweltsystemwissenschaften","Institut für terrestriche Ökosysteme (ITES)","Bodenschutz","http://www.soilprot.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","21,42,92,107,116,139,145,159","159","2326"
16,26,15,"Departement Umweltsystemwissenschaften","Institut für terrestriche Ökosysteme (ITES)","Forstliches Ingenieurwesen","http://www.lue.ethz.ch/","Schmelzbergstrasse 25",8092,"Zürich","47.3779959","8.5506497","72,73,87,100,101,115,126,138,150","101","1751"
17,26,15,"Departement Umweltsystemwissenschaften","Institut für terrestriche Ökosysteme (ITES)","Ökosystem Management","http://www.ecology.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","19,38,49,51,65,73,134,135,137","19","1666"
18,26,15,"Departement Umweltsystemwissenschaften","Institut für terrestriche Ökosysteme (ITES)","Physik von Umweltsystemen","http://www.wsl.ch/info/mitarbeitende/kirchner/index_EN?redir=1&","Zürcherstrasse 111",8903,"Birmensdorf ZH","47.3605576","8.4546128","63,78,95,113,149,177","177","1885"
19,26,15,"Departement Umweltsystemwissenschaften","Institut für terrestriche Ökosysteme (ITES)","Waldökologie","http://www.fe.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","27,32,72,101,121,134,177,180","72","1468"
20,26,15,"Departement Umweltsystemwissenschaften","Institut für terrestriche Ökosysteme (ITES)","Waldmanagement und Entwicklung","http://www.fordev.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","9,50,72,73,148","72","1646"
21,26,15,"Departement Umweltsystemwissenschaften","Institut für terrestriche Ökosysteme (ITES)","Waldmanagement-Waldbau","http://www.wm.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","72,73,144,181","72","2253"
22,26,15,"Departement Umweltsystemwissenschaften","Institut für integrative Biologie (IBZ)","Experimentelle Ökologie (Group Schmid-Hempel)","http://www.eco.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","19,49,58,65,76,96,114,128,140","19","2305"
24,26,15,"Departement Umweltsystemwissenschaften","Institut für integrative Biologie (IBZ)","Ökologische Pflanzengenetik","http://www.peg.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","19,49,65,69,76,77,134,135,137","19","2525"
25,26,15,"Departement Umweltsystemwissenschaften","Institut für integrative Biologie (IBZ)","Pflanzenökologie","http://www.plantecology.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","19,24,49,51,135,137,140","19","1964"
26,26,15,"Departement Umweltsystemwissenschaften","Institut für integrative Biologie (IBZ)","Theoretische Biologie","http://www.tb.ethz.ch/","Universitätstrasse 16",8092,"Zürich","47.379223","8.548385","19,22,49,65,129","19","1427"
27,26,15,"Departement Umweltsystemwissenschaften","Institut für integrative Biologie (IBZ)","Pflanzenpathologie","http://www.path.ethz.ch/","Universitätstrasse 2",8092,"Zürich","47.3774386","8.5487444","19,75,111,129,134,140","19","2027"
