"id","name"
1299,"Liliana Andonova"
1300,"Kiritsis Dimitris"
1301,"Tobias Keplinger"
1302,"Marc Schnyder"
1303,"Yuko Ulrich"
1304,"Karim Abbaspour"
1305,"Assyr Abdulle"
1306,"Karl Aberer"
1307,"Reza Abhari"
1308,"Samuel Abiven"
1309,"Josep Acebillo"
1310,"Peter Achermann"
1311,"Martin Ackermann"
1312,"Thierry Adatte"
1313,"Christian Adlhart"
1314,"Thomas Afjei"
1315,"Kumar Varoon Agrawal"
1316,"Rasha Ahamed"
1317,"Carlo Albert"
1318,"Siegfried Alberton"
1319,"Christine Alewell"
1320,"Eric Allan"
1321,"Florian Altermatt"
1322,"Nadir Alvarez"
1323,"Christian Ambrosi"
1325,"Markus Ammann"
1326,"Ioannis Anastasopoulos"
1327,"Zoya Anastassova"
1328,"Christophe Ancey"
1330,"Marc Angélil"
1331,"Thomas Anken"
1332,"Jérémy Anquetin"
1333,"Flavio Anselmetti"
1334,"Marco Antognini"
1335,"Jean-Louis Arcand"
1338,"Daniel Ariztegui"
1339,"Raphaël Arlettaz"
1341,"Christian Arnsperger"
1342,"Martin Arraigada"
1344,"Marc Audard"
1345,"Kay W. Axhausen"
1346,"Philippe Bacchetta"
1347,"Sven Bacher"
1348,"Eduard Bachmann"
1349,"Olivier Bachmann"
1350,"Fanny Badache"
1351,"Hans-Peter Bader"
1352,"Alexandre Badoux"
1353,"Urs Baier"
1354,"Claude Bailat"
1355,"Robert Balanche"
1356,"Luca Baldini"
1357,"Christophe Ballif"
1358,"Marianne Balmer"
1359,"Eva Maria Balser"
1360,"Béatrice Balsiger"
1361,"Andri Baltensweiler"
1362,"Monika Bandi"
1363,"Andrea Baranzini"
1364,"Catherine Baroffio"
1365,"Vincent Barras"
1366,"Andrew Barry"
1368,"Martin Barth"
1369,"Jordi Bascompte"
1371,"Corsin Battaglia"
1372,"Daniel Bättig"
1373,"Rémi Baudouï"
1374,"Georg Bauer"
1375,"Roland Baumberger"
1376,"Peter Baumgartner"
1377,"Bruno Baur"
1378,"Priska Baur"
1379,"Peter Bebi"
1380,"Damien Becker"
1381,"Bettina Beer"
1382,"Renata Behra"
1384,"Sergio Bellucci"
1385,"Ivano Beltrami"
1386,"Yaakov Benenson"
1387,"Michael Berg"
1388,"Ariel Bergamini"
1389,"Manfred Max Bergmann"
1390,"Andrea Bernasconi"
1391,"Marco Bernasconi"
1392,"Stefano Bernasconi"
1393,"Gretchen Bernasconi-Green"
1394,"Thomas Bernauer"
1395,"Christian Berndt"
1396,"Alexis Berne"
1397,"Rizlan Bernier-Latmani"
1398,"Jean-Paul Berrut"
1399,"Louis-Félix Bersier"
1400,"Stefan Bertsch"
1401,"Marie Besse"
1402,"Christophe Bianchi"
1403,"Christine Bichsel"
1404,"Regula Bickel"
1405,"Michel Bierlaire"
1406,"Willy Bierter"
1407,"Serge Biollaz"
1408,"Wolf Blanckenhorn"
1409,"Jürgen Blaser"
1410,"Dominic Blättler"
1411,"Ingo Blechschmidt"
1412,"Christian Bochet"
1413,"Heinz Boeni"
1414,"Robert Michael Boes"
1415,"Ardemis Boghossian"
1416,"Daniel Bogner"
1417,"Marc Böhler"
1419,"Valérie Boisvert"
1420,"Pascal Boivin"
1421,"Tobias Bolch"
1424,"Kurt Bollmann"
1425,"Luca Caricchi"
1426,"Costanza Bonadonna"
1427,"Sebastian Bonhoeffer"
1428,"Mathias Bonmarin"
1429,"Jürg Boos"
1430,"Gilles Borel"
1431,"Matthias Borer"
1432,"Marco Borghi"
1433,"Michal Borkovec"
1434,"Joachim Borth"
1435,"Konstantinos Boulouchos"
1436,"Dominique Bourg"
1437,"Anne-Sophie Bouvier"
1438,"Stéphane Bovet"
1439,"Florian Brack"
1441,"Urs Beat Brändli"
1442,"Artur Braun"
1443,"Sabine Braun"
1444,"Christine Breitenmoser"
1445,"Urs Breitenmoser"
1446,"Stephan Brenneisen"
1447,"Lucas Bretschger"
1448,"Thomas Breu"
1449,"Mauch-Mani Brigitte"
1450,"Elmar Brockmann"
1451,"Jakob Brodersen"
1452,"Christine Brombach"
1453,"Stefan Brönnimann"
1455,"Roy Brouwer"
1456,"Maja Brückmann"
1457,"Eugen Brühwiler"
1458,"Michael Bründl"
1459,"Dominik Brunner"
1460,"Ivano Brunner"
1461,"Philippe Brunner"
1462,"Redouan Bshary"
1463,"Thomas Bucheli"
1464,"Hugo Bucher"
1465,"Nina Buchmann"
1466,"Celia Bueno"
1467,"Helmut Buergmann"
1468,"Harald Bugmann"
1469,"Rebecca Buller"
1470,"Géraldine Bullinger"
1471,"Rainer Bunge"
1472,"Markus Bünter"
1473,"Raffaella Buonsanti"
1474,"Jean-Pierre Burg"
1475,"Nancy Burgeois"
1476,"Paul Burger"
1477,"Ingo Burgert"
1478,"Peter Burgherr"
1479,"Philipp Burkard"
1480,"Michael Burkhardt"
1481,"Paolo Burlando"
1482,"Heinz Burtscher"
1483,"Thomas Bütler"
1484,"Alexandre Buttler"
1485,"Fulvio Caccia"
1486,"Marc Cadisch"
1487,"Ezio Cadoni"
1488,"Reto Camponovo"
1489,"Massimiliano Cannata"
1490,"Bertrand Cannelle"
1491,"Vincente Carabias-Hütter"
1492,"Nicholas Cardo"
1493,"Christophe Carlen"
1494,"Jan Carmeliet"
1495,"René Carraz"
1496,"Emmanuel Castella"
1497,"Sébastien Castelltort"
1498,"Franck Cattanéo"
1499,"Francesca Cellina"
1500,"Neiro Cereghetti"
1501,"Michel Chapuisat"
1502,"Corinne Charbonnel"
1503,"Jean-Daniel Charrière"
1504,"Jérôme Chenal"
1505,"Daniel Cherix"
1506,"Nathalie Chèvre"
1507,"Massimo Chiaradia"
1508,"Bastien Chopard"
1509,"Philippe Christe"
1510,"Danilo Christen"
1511,"Kees Christiaanse"
1512,"Parisod Christian"
1513,"Sergey Churakov"
1514,"Bart Baeyens"
1515,"Guéladio Cissé"
1516,"Stéphane Citherlet"
1517,"Philippe Clerc"
1519,"Bernard Clot"
1520,"Claude Collet"
1521,"Gaël Comment"
1522,"Marco Conedera"
1523,"James Connolly"
1524,"David Consuegra"
1525,"Elena Conti"
1526,"Francesco Corman"
1527,"Philippe Corvini"
1528,"Nicolai Cramer"
1529,"Jan Czerwinski"
1530,"Antonio da Cunha"
1531,"Rolf Dach"
1532,"Jérome Damet"
1533,"Vinh Dang"
1534,"Croll Daniel"
1535,"Otto Daniel"
1536,"Elisabeth Danner"
1537,"Hy Dao"
1538,"Anthony Christopher Davison"
1539,"Luiz Felippe de Alencastro"
1540,"Christian De Capitani"
1541,"Consuelo De Moraes"
1542,"Nico de Rooij"
1543,"Bernard Debarbieux"
1544,"Reynald Delaloye"
1545,"Caspar Demuth"
1546,"Christophe Dessimoz"
1547,"Andreas Deuber"
1548,"Mylène Devaux Baudraz"
1549,"Larryn W. Diamond"
1550,"Schaefer Didier"
1551,"Andreas Diekmann"
1552,"Dieter Dietz"
1553,"Panayotis Dimopoulos"
1554,"Josef Dommen"
1555,"Viktor Dorer"
1556,"Luuk Dorren"
1557,"Thomas Dreisner"
1558,"Holger Dressel"
1559,"Matthias Drilling"
1560,"David Drissner"
1561,"Jacques Dubey"
1562,"Nathalie Dubois"
1563,"Gregor Dudle"
1564,"André-Gilles Dumont"
1565,"Gregor Dürrenberger"
1566,"Ruth Durrer"
1567,"Beatrice Durrer Eggerschwiler"
1569,"Thomas Dyllick"
1570,"Stefan Eggenberg"
1571,"Matthias Egger"
1572,"Urs Egger"
1573,"Marcel Egli"
1574,"Markus Egli"
1575,"Simon Egli"
1576,"Timothy Ian Eglinton"
1577,"Peter Egolf"
1578,"Dieter Eibl"
1579,"Reiner Eichenberger"
1581,"Jean-Luc Epard"
1582,"Astrid Epiney"
1583,"Martin J. Eppler"
1584,"Matthias Erb"
1585,"van de Waal Erica"
1586,"Suren Erkman"
1587,"Mick Eschmann"
1588,"Cabane Etienne"
1589,"Laurent Excoffier"
1590,"Laurent Eyer"
1591,"Helfenstein Fabrice"
1592,"Sara I. Fabrikant"
1593,"Gilles Falquet"
1594,"Christian Fankhauser"
1595,"Pierre-Andre Farine"
1596,"Edward E. Farmer"
1597,"Mehdi Farsi"
1598,"Isabelle Fath"
1599,"Anne-Christine Favre"
1600,"Fabienne Favre Boivin"
1601,"Christian Félix"
1602,"Fabrizio Fenicia"
1603,"Kathrin Fenner"
1604,"Karl Fent"
1605,"Philine Feulner"
1606,"Charles Fierz"
1607,"Massimo Filippini"
1608,"Matthias Finger"
1609,"Robert Finger"
1610,"Peter Finke"
1611,"Wolfgang Finsterle"
1612,"Hubertus Fischer"
1613,"Markus Fischer"
1614,"Andreas Fischlin"
1616,"Thomas Flatt"
1617,"Elgar Fleisch"
1618,"Andreas Fliessbach"
1619,"Walter Flückiger"
1620,"Christine Flury"
1621,"Karl Föllmi"
1622,"Reto Föllmi"
1623,"Lluís Fontboté"
1624,"Stefan Forster"
1625,"Olaf Forte"
1626,"Rahali Fouad"
1627,"Anneleen Foubert"
1628,"Eric Fragnière"
1630,"Christian M. Franck"
1631,"Paul Frank"
1632,"Leander Franz"
1633,"Reto Frei"
1634,"Beat Frey"
1635,"Jürg Ernst Frey"
1636,"Klaus Fröhlich"
1637,"Pascal Froidevaux"
1638,"Francesco Frontini"
1639,"Emmanuel Frossard"
1640,"Pierre-André Frossard"
1641,"Luca Fumagalli"
1642,"Benjamin Fumey"
1643,"Jean-Pierre Gabriel"
1644,"Gérard Gaillard"
1645,"Luca Maria Gambardella"
1646,"Glaude Garcia"
1647,"Javier Garcia Hernandez"
1648,"Roberto Gargiani"
1649,"Paola Gasche-Soccal"
1650,"Volker Gass"
1651,"Markus Gasser"
1652,"Andreas Gattinger"
1653,"Alain Geiger"
1654,"Thomas Geiger"
1655,"Marianne Geiser"
1656,"Thomas Geiser"
1657,"Achim Geissler"
1658,"Niko Geldner"
1659,"Jean-David Gerber"
1660,"Matthias Gerber"
1661,"Urs Germann"
1662,"Nikolas Geroliminis"
